wounded;800 dead and wounded;http://dbpedia.org/ontology/causalties
wounded;6 wounded;http://dbpedia.org/ontology/causalties
killed;2 killed;http://dbpedia.org/ontology/causalties
wounded;10 wounded;http://dbpedia.org/ontology/causalties
light;light;http://dbpedia.org/ontology/causalties
wounded;313 killed and 174 missing or wounded;http://dbpedia.org/ontology/causalties
wounded;168 missing or wounded;http://dbpedia.org/ontology/causalties
wounded;1 wounded;http://dbpedia.org/ontology/causalties
damaged;1 carrier heavily damaged;http://dbpedia.org/ontology/causalties
destroyed;20 aircraft destroyed;http://dbpedia.org/ontology/causalties
killed;72 killed;http://dbpedia.org/ontology/causalties
wounded;450 wounded;http://dbpedia.org/ontology/causalties
missing;4 missing;http://dbpedia.org/ontology/causalties
least;at least 349;http://dbpedia.org/ontology/causalties
wounded;64 wounded;http://dbpedia.org/ontology/causalties
unknown;killed and wounded unknown;http://dbpedia.org/ontology/causalties
military;philippine commonwealth military;http://dbpedia.org/ontology/causalties
guerrilla;tayabasin guerrilla resistance;http://dbpedia.org/ontology/causalties
killed;480 killed;http://dbpedia.org/ontology/causalties
military;united states military;http://dbpedia.org/ontology/causalties
damaged;1 battleship damaged;http://dbpedia.org/ontology/causalties
damaged;1 gunboat damaged;http://dbpedia.org/ontology/causalties
killed;400 killed;http://dbpedia.org/ontology/causalties
wounded;650 wounded;http://dbpedia.org/ontology/causalties
around;around;http://dbpedia.org/ontology/causalties
ottoman;ottoman empire:;http://dbpedia.org/ontology/causalties
destroyed;140 artillery pieces captured or destroyed;http://dbpedia.org/ontology/causalties
first;first siege:;http://dbpedia.org/ontology/causalties
second;second siege:;http://dbpedia.org/ontology/causalties
killed;4 to 5 men killed;http://dbpedia.org/ontology/causalties
light;light casualties;http://dbpedia.org/ontology/causalties
killed;619 killed;http://dbpedia.org/ontology/causalties
battle;heavily decimated in battle and in the massacre which followed;http://dbpedia.org/ontology/causalties
dead;149 dead;http://dbpedia.org/ontology/causalties
wounded;467 wounded;http://dbpedia.org/ontology/causalties
wounded;616 killed or wounded;http://dbpedia.org/ontology/causalties
british;british security forces:;http://dbpedia.org/ontology/causalties
killed;262 killed;http://dbpedia.org/ontology/causalties
wounded;c. 550 wounded;http://dbpedia.org/ontology/causalties
killed;c. 300 killed;http://dbpedia.org/ontology/causalties
executed;4 executed;http://dbpedia.org/ontology/causalties
wounded;500 dead or wounded;http://dbpedia.org/ontology/causalties
down;2 aircraft shot down;http://dbpedia.org/ontology/causalties
killed;37 killed;http://dbpedia.org/ontology/causalties
wounded;114 wounded;http://dbpedia.org/ontology/causalties
soviet;soviet union:ref;http://dbpedia.org/ontology/causalties
dead;136 dead;http://dbpedia.org/ontology/causalties
total;239 total;http://dbpedia.org/ontology/causalties
killed;57 killed;http://dbpedia.org/ontology/causalties
wounded;146 wounded;http://dbpedia.org/ontology/causalties
killed;267 killed;http://dbpedia.org/ontology/causalties
wounded;387 wounded;http://dbpedia.org/ontology/causalties
missing;6 missing;http://dbpedia.org/ontology/causalties
spanish;144 or 2.000 according to spanish sourceskilled in action;http://dbpedia.org/ontology/causalties
wounded;127 wounded;http://dbpedia.org/ontology/causalties
dead;1900 dead;http://dbpedia.org/ontology/causalties
missing;134 dead and 927 wounded or missing;http://dbpedia.org/ontology/causalties
killed;about 50 killed;http://dbpedia.org/ontology/causalties
wounded;34 wounded;http://dbpedia.org/ontology/causalties
crash;2 soldiers killed in second ah-64 apache non-combat crash;http://dbpedia.org/ontology/causalties
down;1f-117a nighthawkshot down;http://dbpedia.org/ontology/causalties
damaged;1 f-117a nighthawk  damaged;http://dbpedia.org/ontology/causalties
damaged;2a-10 thunderboltiis damaged;http://dbpedia.org/ontology/causalties
down;1f-16cshot down;http://dbpedia.org/ontology/causalties
lost;21 uavs lost;http://dbpedia.org/ontology/causalties
killed;41 killed;http://dbpedia.org/ontology/causalties
unknown;unknown but comparatively lighter.;http://dbpedia.org/ontology/causalties
destroyed;almost entire army destroyed;http://dbpedia.org/ontology/causalties
killed;174\u2013211 soldiers killed;http://dbpedia.org/ontology/causalties
near;1 captured near fort saint-jean;http://dbpedia.org/ontology/causalties
wounded;1 wounded at ticonderoga;http://dbpedia.org/ontology/causalties
killed;313 killed;http://dbpedia.org/ontology/causalties
missing;77 missing;http://dbpedia.org/ontology/causalties
wounded;879 wounded;http://dbpedia.org/ontology/causalties
killed;274 killed;http://dbpedia.org/ontology/causalties
i;operation scotland i;http://dbpedia.org/ontology/causalties
killed;730 killed in action;http://dbpedia.org/ontology/causalties
ii;operation scotland ii;http://dbpedia.org/ontology/causalties
killed;485 killed;http://dbpedia.org/ontology/causalties
killed;5 ~ 20 killed;http://dbpedia.org/ontology/causalties
final;operation charlie for the final evacuation;http://dbpedia.org/ontology/causalties
killed;at least 11 marines killed;http://dbpedia.org/ontology/causalties
killed;arvn losses: 229 killed;http://dbpedia.org/ontology/causalties
